contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
62,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Cross Edge EU,0,0,75000,IDEA FACTORY,2023-03-17T18:27:35.000Z,Yosuke Akutsu,2023-03-20T20:38:03.000Z,Yosuke Akutsu
63,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia EU,0,0,60000,IDEA FACTORY,2023-03-17T18:27:36.000Z,Yosuke Akutsu,2023-03-20T20:38:03.000Z,Yosuke Akutsu
64,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia MK2 EU,0,0,60000,IDEA FACTORY,2023-03-17T18:27:36.000Z,Yosuke Akutsu,2023-03-20T20:38:03.000Z,Yosuke Akutsu
119,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Aedis Eclipse,0,0,0,IDEA FACTORY,2023-05-11T00:19:19.000Z,Nisa Retool,2023-05-11T00:19:19.000Z,Nisa Retool
122,2011-03-04T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia US,0,0,0,IDEA FACTORY,2023-05-17T15:57:21.000Z,Nisa Retool,2023-05-17T15:57:21.000Z,Nisa Retool
123,2012-02-24T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia MK2 US,0,0,0,IDEA FACTORY,2023-05-17T15:58:02.000Z,Nisa Retool,2023-05-17T15:58:02.000Z,Nisa Retool
124,2009-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trinity Universe US,0,0,0,IDEA FACTORY,2023-05-17T16:07:41.000Z,Nisa Retool,2023-05-17T16:07:41.000Z,Nisa Retool
125,2009-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trinity Universe EU,0,0,0,IDEA FACTORY,2023-05-17T16:07:54.000Z,Nisa Retool,2023-05-17T16:07:54.000Z,Nisa Retool
10,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Yurukill,74285,0,240000,Izanagi Games,2023-03-17T18:27:37.000Z,Yosuke Akutsu,2023-03-20T20:37:33.000Z,Yosuke Akutsu
33,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,World's End Club,0,0,0,Izanagi Games,2023-03-17T18:27:36.000Z,Yosuke Akutsu,2023-03-20T20:37:50.000Z,Yosuke Akutsu
51,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Metal Max Xeno,0,4480.07,0,"KADOKAWA GAMES, LTD.",2023-03-17T18:27:37.000Z,Yosuke Akutsu,2023-03-20T20:37:57.000Z,Yosuke Akutsu
11,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Psycho-Pass,137091.66,0,550000,MAGES. Inc.,2023-03-17T18:27:37.000Z,Nisa Retool,2023-06-03T17:46:07.000Z,Nisa Retool
102,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,2,OPERATION ABYSS,107007.36,0,250000,MAGES. Inc.,2023-03-30T23:18:54.000Z,Nisa Retool,2023-06-03T17:57:48.000Z,Nisa Retool
34,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Akiba's Trip 2,0,6121.35,0,"MARVELOUS USA, INC",2023-03-17T18:27:38.000Z,Yosuke Akutsu,2023-03-20T20:37:51.000Z,Yosuke Akutsu
35,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Onechanbara Z2,0,4062,0,"MARVELOUS USA, INC",2023-03-17T18:27:38.000Z,Yosuke Akutsu,2023-03-20T20:37:51.000Z,Yosuke Akutsu
36,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,TOCS 2,0,2151.45,0,"MARVELOUS USA, INC",2023-03-17T18:27:38.000Z,Yosuke Akutsu,2023-03-20T20:37:51.000Z,Yosuke Akutsu
37,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,TOCS,0,3203.15,0,"MARVELOUS USA, INC",2023-03-17T18:27:38.000Z,Yosuke Akutsu,2023-03-20T20:37:52.000Z,Yosuke Akutsu
38,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Way of The Samurai 4,0,0,0,"MARVELOUS USA, INC",2023-03-17T18:27:39.000Z,Yosuke Akutsu,2023-03-20T20:37:52.000Z,Yosuke Akutsu
39,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,YS Memories of Celceta,0,0,0,"MARVELOUS USA, INC",2023-03-17T18:27:39.000Z,Yosuke Akutsu,2023-03-20T20:37:52.000Z,Yosuke Akutsu
40,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Double Focus,0,0,0,"Mediascape Co., Ltd.",2023-03-17T18:27:39.000Z,Yosuke Akutsu,2023-03-20T20:37:53.000Z,Yosuke Akutsu
