,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
191,NEP2-PS3,NEPTUNIA 2 DLC FOR EU,297.26,,280.21,,,17.05000000000001
192,NEP3-PS3,NEPTUNIA 3 PS3-EU,415.52000000000004,,282.83,,,132.69000000000005
193,NEP4-PSP,NEPTUNIA PP-PSV,27.96,,,,,27.96
194,NTD1-PS3,NATURAL DOCTRINE PS3 & PS4 PAL,10.49,,24.26,,,-13.770000000000001
195,NTD1-PS4,NATURAL DOCTRINE PS3 & PS4,0.0,,,,,0.0
196,NTD1-PSV,NATURAL DOCTRINE PSV,10.49,,,,,10.49
197,ONE2-PS4,ONECHANBARA Z2 ON PS4 PAL,678.66,,501.24,,,177.41999999999996
198,OPA1-PSV,OPERATION ABYSS NTL PSV,14.68,,30.74,,,-16.06
199,OPA1-STM,OPERATION ABYSS STEAM,82.68,,509.42,,,-426.74
200,OPB1-PSV,OPERATION BABEL,27.98,,27.98,,,0.0
201,OPB1-STM,OPERATION BABEL STEAM,136.87,,638.4399999999999,,,-501.56999999999994
202,OSL1-PS3,ODIN SPHERE PS3 PAL,25.46,,24.24,,,1.2200000000000024
203,OSL1-PS4,ODIN SPHERE PSV PAL,4672.16,,1954.04,,,2718.12
204,OSL1-PSV,ODIN SPHERE PSV PAL,42.709999999999994,,24.86,,,17.849999999999994
205,P4D1-PSV,PERSONA 4 DANCING ALL NIGHT PSV,175.99,,128.56,,,47.43000000000001
206,P4G1-PSV,PERSONA 4 GOLDEN PAL VERSION,357.76,,435.0,,,-77.24000000000001
207,PAP-ANM,PRINCESS & PILOT,146.19,,,,,146.19
208,PBR1-PSP,PHANTOM BRAVE PSP,30.68,,,,,30.68
209,PBR1-STM,PHANTOM BRAVE STEAM,2028.48,,,,,2028.48
210,PBR2-OTH,GOODS,1746.43,605.57,,,,1140.8600000000001
211,PCO1-NSW,POISON CONTROL NSW,892.24,,,,,892.24
212,PCO1-PS4,POISON CONTROL PS4,1147.03,,,,,1147.03
213,PG24-OTH,GOODS,5482.61,1399.48,,,,4083.1299999999997
214,PHE-ANM,PANDORA HEARTS-NET,235.07,,,,,235.07
215,PNY1-APP,GOODS,13.33,4.69,,,,8.64
216,PNY1-OTH,GOODS,8309.23,2910.31,,,,5398.92
217,POE1-NSW,PROCESS OF ELIMINATION NSW,2459.27,215.44,,,,2243.83
218,POE1-PS4,PROCESS OF ELIMINATION PS4,553.29,66.46000000000001,,,,486.8299999999999
219,PPP1-NSW,PENNY PUNCHING PRINCESS NSW PAL,339.25,,,,,339.25
220,PR01-NSW,PRINNY 1 NSW,1126.8700000000001,,,,,1126.8700000000001
221,PR02-NSW,PRINNY 2 NSW,925.62,,,,,925.62
222,PRI1-PSP,PRINNY ACTION PSP,43.22,,,,,43.22
223,PRI2-PSP,PRINNY 2 PSP,16.28,,,,,16.28
224,PSA1-NSW,PSIKYO SHOOTING STARS ALPHA NSW,1017.86,,1035.01,,,-17.149999999999977
225,PSB1-NSW,PSIKYO SHOOTING STARS BRAVO NSW,866.8699999999999,,1075.71,,,-208.84000000000015
226,PSP1-PS4,PSYCHO-PASS PS4 PAL,194.54999999999998,,1070.4,,,-875.8500000000001
227,PSP1-PSV,PSYCHO-PASS PSV PAL,22.29,,,,,22.29
228,PSP1-STM,PSYCHO-PASS STEAM,55.43,,829.8399999999999,,,-774.41
229,PW23-OTH,GOODS,2110.58,710.0,,,,1400.58
230,RAM3-NSW,RAIDEN 3 NSW,432.44,,1188.07,,,-755.6299999999999
231,RAM3-PS4,RAIDEN 3 PS4,171.03,,211.14999999999998,,,-40.119999999999976
232,RAM3-PS5,RAIDEN 3 PS5,1058.86,,1327.21,,,-268.35000000000014
233,RAM3-XB1,RAIDEN 3 XB1,208.62,,156.17,,,52.45000000000002
234,RAM4-PS4,RAIDEN 4 PS4,136.86,,142.65,,,-5.789999999999992
235,RAM4-PS5,RAIDEN 4 PS5,684.11,,174.88,,,509.23
236,RAM4-STM,RAIDEN 4 STEAM,202.97,,685.27,,,-482.29999999999995
237,RAM4-XB1,RAIDEN 4 XB1,359.03,,315.25,,,43.77999999999997
238,RHP2-STM,RHAPSODY 2 STEAM,348.58000000000004,,,,,348.58000000000004
239,RHP3-NSW,RHAPSODY LEGACY NSW,1584.3700000000001,79.89,,,,1504.48
240,RHP3-PS5,RHAPSODY LEGACY PS5,1688.88,144.51,,,,1544.3700000000001
241,RHP3-STM,RHAPSODY 3 STEAM,420.14,,,,,420.14
242,RMM1-NSW,RPG MAKER MV NSW,6257.360000000001,,6436.96,,,-179.59999999999945
243,RMM1-PS4,RPG MAKER MV PS4,4814.07,,2422.07,,,2391.9999999999995
244,RMM2-NSW,RPG MAKER WITH NSW,229787.52,78766.59,,,,151020.93
245,RNT1-GDS,REYNATIS,4348.12,4316.96,,35608.15,,-35576.990000000005
246,RNT1-NSW,REYNATIS NSW,161652.21,74980.68,654751.72,,,-568080.19
247,RNT1-PS4,REYNATIS PS4,9495.5,2267.94,163211.46000000002,,,-155983.90000000002
248,RNT1-PS5,REYNATIS PS5,109380.85,24966.31,820178.76,,,-735764.22
249,ROS1-PSV,A ROSE IN THE TWILIGHT PSV,53.57,,,,,53.57
250,ROS1-STM,A ROSE IN THE TWILIGHT STEAM,141.64999999999998,,,,,141.64999999999998
251,RTF2-EGS,R-TYPE FINAL 2 EPIC,161.84,,170.81,,,-8.969999999999999
252,RTF2-MST,R-TYPE FINAL 2 MST GAME PASS,278.47,,36.41,,,242.06000000000003
253,RTF2-NSW,R-TYPE FINAL 2 NSW,3386.2200000000003,,4387.07,,,-1000.8499999999995
