,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
33,CEO1-STM,THE CALIGULA EFFECT STEAM,398.15,,3906.7499999999995,,,-3508.5999999999995
34,CEO2-NSW,CALIGULA EFFECT 2 NSW,1176.06,,1589.06,,,-413.0
35,CEO2-PS4,CALIGULA EFFECT 2 PS4,1931.44,,372.89,,,1558.5500000000002
36,CEO2-PS5,CALIGULA EFFECT 2 PS5,757.22,,361.69,,,395.53000000000003
37,CGH-ANM,CHRONICLES-GOING HOME CLUB,24.02,,,,,24.02
38,CGI2-PSV,CRIMINAL GIRLS 2 PSV,34.95,,,,,34.95
39,CGS2-PSV,CRIMINAL GIRLS PSV,121.47000000000001,,,,,121.47000000000001
40,CGS2-STM,CRIMINAL GIRLS STEAM,155.15,,,,,155.15
41,COC1-PS3,CLAN OF CHAMPIONS PS3,9.72,,23.6,,,-13.88
42,COC1-STM,CLAN OF CHAMPIONS-STEAM,7.51,,42.34,,,-34.830000000000005
43,CRY1-NSW,CRYSTAR NSW,2225.05,,4971.879999999999,,,-2746.829999999999
44,CRY2-NSW,CRYMACHINA NSW,1945.59,,6380.62,,,-4435.03
45,CRY2-PS4,CRYMACHINA PS4,524.12,,951.9999999999999,,,-427.8799999999999
46,CRY2-PS5,CRYMACHINA PS5,4742.889999999999,,11300.86,,,-6557.970000000001
47,CRY2-STM,CRYMACHINA STEAM,3881.51,,33215.58,,,-29334.07
48,D1C1-NSW,DISGAEA 1 COMPLETE NSW,5602.959999999999,,,,,5602.959999999999
49,D1C1-PS4,DISGAEA 1 COMPLETE PS4 DIGITAL,1437.74,,,,,1437.74
50,D4C1-MST,DISGAEA 4 COMPLETE+ GAME PASS,70.17,,,,,70.17
51,D4C1-NSW,DISGAEA 4 NSW,1987.4,,,,,1987.4
52,D4C1-PS4,DISGAEA 4 PS4,2302.32,,,,,2302.32
53,D4C1-STM,DISGAEA 4 COMPLETE+ STEAM,9846.050000000001,,,,,9846.050000000001
54,D6C1-PS4,DISGAEA 6 COMPLETE PS4,1254.5900000000001,160.45,,,,1094.14
55,D6C1-PS5,DISGAEA 6 COMPLETE PS5,3628.11,187.54,,,,3440.57
56,D6C1-STM,DISGAEA 6 COMPLETE STEAM,7679.66,,,,,7679.66
57,DAR1-PSP,DRAGONEER'S ARIA,6.98,,,,,6.98
58,DDT1-PS3,DISGAEA D2 PS3,449.97,,,,,449.97
59,DEC1-NSW,DESTINY CONNECT NSW,966.07,,,,,966.07
60,DEC1-PS4,DESTINY CONNECT PS4,412.29,,,,,412.29
61,DEG1-PSV,DEMON GAZE PSV-PAL,1.2799999999999998,,,,,1.2799999999999998
62,DEG2-PSV,DEMON GAZE 2 PSV PAL,45.33,,,,,45.33
63,DEN-ANM,DENPA ONNA TO SEISHUN OTOKO,42.28,,,,,42.28
64,DIN1-PSP,DISGAEA INFINITE PSP,3.74,,,,,3.74
65,DIR4-NSW,DISASTER REPORT 4 NSW,569.25,,2309.74,,,-1740.4899999999998
66,DIR4-PS4,DISASTER REPORT 4 PS4,4741.22,,4239.51,,,501.71000000000004
67,DIR4-STM,DISASTER REPORT 4 STEAM,486.54,,1403.2399999999998,,,-916.6999999999998
68,DIS1-PSP,DISGAEA 1 PSP,6.99,,,,,6.99
69,DIS1-STM,DISGAEA 1 STEAM,6920.51,,,,,6920.51
70,DIS2-PSP,DISGAEA 2 PSP,49.72,,,,,49.72
71,DIS2-STM,DISGAEA 2 STEAM,4253.03,,,,,4253.03
72,DIS3-PS3,DISGAEA 3 PS3,365.76,,,,,365.76
73,DIS3-PSV,DISGAEA 3 PSV,85.75,,,,,85.75
74,DIS4-PS3,DISGAEA 4 PS3,217.36,,,,,217.36
75,DIS4-PSV,DISGAEA 4 PS VITA US,173.78,,,,,173.78
76,DIS5-NSW,DISGAEA 5 SWITCH PAL,6087.13,,,,,6087.13
77,DIS5-PS4,DISGAEA 5 PS4 ASIA,6262.42,,,,,6262.42
78,DIS5-STM,DISGAEA 5 COMPLETE STEAM,12830.130000000001,,,,,12830.130000000001
79,DIS6-NSW,DISGAEA 6 NSW,2527.01,,,,,2527.01
80,DIS7-NSW,DISGAEA 7 NSW,24940.59,2670.77,,,,22269.82
81,DIS7-OTH,GOODS,228.91,48.45,,,,180.45999999999998
82,DIS7-PS4,DISGAEA 7 PS4,2273.99,184.14,,,,2089.85
83,DIS7-PS5,DISGAEA 7 PS5,19568.670000000002,551.24,,,,19017.43
84,DIS7-STM,DISGAEA 7 STEAM,36166.25,,,,,36166.25
85,DLC-EU,AKIBA TRIP 2,1.25,,,,,1.25
86,DLH-ANM,DAILY LIVES OF HIGH SCHOOL BOYS,205.27,,,,,205.27
87,ECF-ANM,ECCENTRIC FAMILY,10.19,,,,,10.19
88,FAL1-NSW,FALLEN LEGION NSW,296.48,,295.91,,,0.5699999999999932
89,FAL1-PS5,FALLEN LEGION 1 PS5,41.98,,122.53999999999999,,,-80.56
90,FAL1-XB1,FALLEN LEGION 1 XB1,4.46,,2.46,,,2.0
91,FAL2-NSW,FALLEN LEGION REVENANTS NSW,349.39,,583.23,,,-233.84000000000003
92,FAL2-PS4,FALLEN LEGION REVENANTS PS4,82.12,,9.87,,,72.25
93,FAL2-PS5,FALLEN LEGION 2 PS5,504.88,,156.76,,,348.12
94,FAL2-STM,FALLEN LEGION 2 STEAM,51.870000000000005,,122.08,,,-70.21
95,FAL2-XB1,FALLEN LEGION 2 XB1,59.99,12.61,2.65,,,44.730000000000004
96,FFD1-STM,FIREFLY DIARY STEAM,63.14,,,,,63.14
97,FFF1-PS3,FAIRY FENCER F PS3-PAL,386.18,,446.83,,,-60.64999999999998
98,FLG-ANM,KANOJO GA FLAG,154.08,,,,,154.08
99,Freight Income,- NO GAME TITLE -,239.59,,,,4495.77,-4256.18
100,G2G-ANM,GENSHIKEN 2ND GENERATION,62.04,,,,,62.04
101,GAK1-NSW,GIRAFFE & ANNIKA NSW,223.79000000000002,,582.9,,,-359.10999999999996
102,GAK1-PS4,GIRAFFE & ANNIKA PS4,-20.99,,401.20000000000005,,,-422.19000000000005
103,GFP1-PS3,GUIDED FATE PARADOX PS3,116.93,,,,,116.93
104,GFP2-PS3,THE AWAKENED FATE ULTIMATUM US,186.26,,,,,186.26
105,GGR1-NSW,GRIM GRIMOIRE ONCEMORE NSW,3702.9100000000003,826.53,,,,2876.38
106,GGR1-PS2,GRIM GRIMOIRE PS2,1.85,,,,,1.85
107,GGR1-PS4,GRIM GRIMOIRE ONCEMORE PS4,3173.6600000000003,918.94,,,,2254.7200000000003
108,GGR1-PS5,GRIM GRIMOIRE ONCEMORE PS5,4103.17,625.67,,,,3477.5
109,GOC3-PSP,GOC 3 PSP,6.99,,,,,6.99
110,GPE-ANM,ENMA-KUN,57.69,,,,,57.69
111,GRK1-PS4,GRAND KINGDOM,405.44,,1810.3700000000001,,,-1404.93
112,GRK1-PSV,GRAND KINGDOM,38.21,,84.64999999999999,,,-46.43999999999999
113,HMO4-NSW, WINDS OF ANTHOS NSW,158.65,104.2,,,,54.45
114,HMO4-PS4, WINDS OF ANTHOS PS4,158.65,103.9,,,,54.75
115,IRO1-ANM,HANASAKU IROHA 1,28.94,,,,,28.94
116,IRO1-BRD,HANASAKU IROHA 1,539.7,64.8,,,,474.90000000000003
117,IRO2-ANM,HANASAKU IROHA 2,291.76,,,,,291.76
118,IRO2-BRD,HANASAKU IROHA 2,719.7,57.42,,,,662.2800000000001
119,IRO3-ANM,HANASAKU IROHA MOVIE,8.87,,,,,8.87
