,Title,Item,Platform,Division,Sales Units,Sales Amount,Month,Coop_expense,Paid_PP,Material_COGS,Royalty,Marginal Profit,Game Type
4224,03-2022 : World's End Club : World's End Club NSW,WEC1-NSW-US-eshop-DLC,NSW,NA Games,,,,,,,,0.0,Digital Add-on content
4225,03-2022 : World's End Club : World's End Club NSW,WEC1-NSW-US-eshop,NSW,NA Games,54.0,879.02,2025-02,,,,,879.02,Digital Full Game
4226,03-2022 : World's End Club : World's End Club NSW,WEC1-NSW-US-eshop,NSW,NA Games,9.0,251.91,2025-03,,,,,251.91,Digital Full Game
4227,03-2022 : World's End Club : World's End Club NSW,WEC1-NSW-US-eshop,NSW,NA Games,136.0,1799.28,2025-01,,,,,1799.28,Digital Full Game
4228,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-EU-OST,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
4229,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-WS-OST,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
4230,03-2020 : Trails of Cold Steel 3 : Trails of Cold Steel 3 PS4,TCS3-PS4-WS-VG-BUN3,PS4,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
4231,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-US-ADV1,NSW,NA Games,,,,,,,,0.0,Physical
4232,03-2020 : Trails of Cold Steel 3 : Trails of Cold Steel 3 NSW,TCS3-NSW-WS-VG-BUN2,NSW,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
4233,Goods,TCS4-OTH-WS-PLU-S1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
4234,03-2022 : Caligula Effect 2,CEO2-GDS-EU-SID1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
4235,03-2022 : Caligula Effect 2,CEO2-GDS-WS-SID1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
4236,Goods,TCS4-OTH-WS-MMS-S1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
4237,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-US-OSL1,NSW,NA Games,,,,,,,,0.0,Physical
4238,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-US-ABK1,GDS,NA Games,,,,,,,,0.0,Components
4239,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-US-VG-BOX,GDS,NA Games,,,,,,,,0.0,Components
4240,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-US-CDS1,GDS,NA Games,,,,,,,,0.0,Components
4241,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-US-VG-SE,NSW,NA Games,,,,,,,,0.0,Physical
4242,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-US-VG-SE-ASM,,NA Games,,,,,,,,0.0,
4243,03-2022 : Caligula Effect 2,CEO2-GDS-EU-ABK1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
4244,03-2022 : Caligula Effect 2,CEO2-GDS-WS-ABK1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
4245,03-2022 : Caligula Effect 2,CEO2-GDS-EU-VG-PE-BOX,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
4246,03-2022 : Caligula Effect 2,CEO2-GDS-WS-VG-PE-BOX,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
4247,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-EU-STD1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
4248,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-GDS-WS-STD1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
4249,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-EU-CART,NSW,EU Games,,,,,,,,0.0,Physical
4250,03-2022 : NIS Classics Volume 1 : NIS Classics Volume 1 NSW,NAC1-NSW-US-CART,NSW,NA Games,,,,,,,,0.0,Physical
4251,03-2022 : Silver Case 2425 : Silver Case 2425 NSW,SC12-NSW-WS-VG-PE-ASM,,NA Games : NA Games-STORE,,,,,,,,0.0,
4252,03-2022 : Silver Case 2425 : Silver Case 2425 NSW,SC12-NSW-WS-VG-SE,NSW,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
4253,Goods,NIF1-OTH-WS-APT1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
4254,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero PS4,TCK1-PS4-WS-VG-PE-S1,PS4,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
4255,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-WS-VG-PE-S1,NSW,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
4256,Goods,TCK1-OTH-WS-PUZ1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
4257,Goods,TCK1-OTH-WS-PLU1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
