game_title_id,effective_start_date,effective_end_date,version_id,game_title,release_date,contract_name,created_timestamp,created_by,updated_timestamp,updated_by
173,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Black Rock Shooter-PSNE,2022-07-01T00:00:00.000Z,Black Rock Shooter-EU,2023-03-17T20:37:55.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
162,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Tokyo Tattoo Girls:Tokyo Tattoo Girls PSV PAL,2017-07-04T00:00:00.000Z,Tokyo Tattoo Girls,2023-03-17T20:37:54.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
163,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Tokyo Tattoo Girls:Tokyo Tattoo Girls STEAM,2022-07-01T00:00:00.000Z,Tokyo Tattoo Girls,2023-03-17T20:37:54.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
238,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Tokyo Tattoo Girls:Tokyo Tattoo Girls PSV,2016-09-30T00:00:00.000Z,Tokyo Tattoo Girls,2023-05-11T17:41:06.000Z,Nisa Retool,2023-05-11T17:41:06.000Z,Nisa Retool
176,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,My Lord!?:My Lord!? 2 PSP-EU,2022-07-01T00:00:00.000Z,My Lord 2 EU,2023-03-17T20:37:57.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
196,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2019:Danganronpa Trilogy PS4,2022-07-01T00:00:00.000Z,Danganronpa Trilogy,2023-03-17T20:38:03.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
197,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Grand Kingdom,2022-07-01T00:00:00.000Z,Grand Kingdom,2023-03-17T20:38:03.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
177,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Etrian Mystery Dungeon 3DS PAL,2022-07-01T00:00:00.000Z,Etrian Mystery Dungeon,2023-03-17T20:37:58.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
178,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Etrian Odyssey 4-PAL 3DS,2022-07-01T00:00:00.000Z,Etrian Odyssey 4,2023-03-17T20:37:58.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
179,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,"Etrian Odyssey ""Untold""-PAL 3DS",2022-07-01T00:00:00.000Z,Etrian Odyssey Untold,2023-03-17T20:37:59.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
